n_events,round,rebuild_time_s,odte_recovery_time_s,equal
100,1,0.1346,9.1017,True
100,2,0.0744,9.1034,True
100,3,0.0717,9.1063,True
100,4,0.0708,9.1009,True
100,5,0.0722,9.1029,True
100,6,0.0745,9.1037,True
100,7,0.0715,9.1025,True
100,8,0.0745,9.1008,True
100,9,0.0709,9.1012,True
100,10,0.0717,9.1031,True
200,1,0.1002,9.1002,True
200,2,0.1094,9.1001,True
200,3,0.1014,9.1008,True
200,4,0.1398,9.1016,True
200,5,0.1005,9.1016,True
200,6,0.1276,9.1006,True
200,7,0.0994,9.0997,True
200,8,0.1083,9.1009,True
200,9,0.1282,9.1003,True
200,10,0.1038,9.1057,True
500,1,0.2072,9.6047,True
500,2,0.2937,9.6057,True
500,3,0.2034,9.6088,True
500,4,0.2049,9.6113,True
500,5,0.2092,9.6068,True
500,6,0.2051,9.6095,True
500,7,0.2036,9.6062,True
500,8,0.21,9.6047,True
500,9,0.2088,9.6092,True
500,10,0.2083,9.6064,True
1000,1,0.3901,9.0993,True
1000,2,0.3928,9.0998,True
1000,3,0.3953,9.0998,True
1000,4,0.4056,9.0999,True
1000,5,0.4427,9.1014,True
1000,6,0.3891,9.1004,True
1000,7,0.391,9.101,True
1000,8,0.3905,9.105,True
1000,9,0.4346,9.1005,True
1000,10,0.4313,9.102,True
2000,1,0.8067,9.6088,True
2000,2,0.7922,9.1008,True
2000,3,0.847,9.1021,True
2000,4,0.8148,9.6072,True
2000,5,0.8131,9.6081,True
2000,6,0.8014,9.1013,True
2000,7,0.8362,9.6076,True
2000,8,0.7661,9.0999,True
2000,9,0.7943,9.102,True
2000,10,0.7744,9.608,True
5000,1,2.2865,9.1008,True
5000,2,2.2705,9.6039,True
5000,3,2.2176,9.6072,True
5000,4,2.2652,9.607,True
5000,5,2.395,9.6111,True
5000,6,2.339,9.6076,True
5000,7,2.3228,9.6108,True
5000,8,2.2809,9.6118,True
5000,9,2.2369,9.1039,True
5000,10,2.3521,9.6124,True
10000,1,5.5138,9.6072,True
10000,2,5.4154,9.6048,True
10000,3,5.4868,9.6074,True
10000,4,5.4578,9.6071,True
10000,5,5.4187,9.6063,True
10000,6,5.4627,9.6088,True
10000,7,5.5196,9.6035,True
10000,8,5.5568,9.6071,True
10000,9,5.4949,9.6067,True
10000,10,5.4983,9.1546,True
